,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
156,-761.0,898.0,1659.0,-0.458710066305003,0.30910828364825765,125.37626963211353,143.0,0.7412587412587412,0.8867053744231055,50.0,290.0,0.0,0.0
116,-751.0,567.0,1318.0,-0.5698027314112292,-0.18870290982769763,-59.24173610178362,143.0,0.7412587412587412,0.8790075720960205,45.0,250.0,0.0,0.0
248,-751.0,1174.0,1943.0,-0.386515697375193,0.7325280989201671,300.11977268200957,143.0,0.6783216783216783,0.898458626284478,65.0,270.0,0.0,0.0
286,-749.0,1057.0,1824.0,-0.4106359649122807,0.40367681482693846,135.30111760047058,143.0,0.6713286713286714,0.9010306553911206,70.0,300.0,0.0,0.0
271,-749.0,792.0,1559.0,-0.4804361770365619,0.3507155130599278,110.50601873937632,143.0,0.6643356643356644,0.8999599305462802,70.0,225.0,0.0,0.0
265,-741.0,618.0,1377.0,-0.5381263616557734,0.013699240567659587,3.4355260781162436,143.0,0.6573426573426573,0.8998919211024048,70.0,195.0,0.0,0.0
107,-741.0,503.0,1244.0,-0.5956591639871383,-0.3600621830595762,-112.0236164309964,143.0,0.7412587412587412,0.8806186563557274,45.0,205.0,0.0,0.0
3,-735.0,256.0,1048.0,-0.7013358778625954,-1.1626725326234262,-262.52884780162015,143.0,0.7972027972027972,0.8515151515151516,30.0,165.0,0.0,0.0
34,-732.0,203.0,994.0,-0.7364185110663984,-1.4590680371930382,-369.2044426123969,143.0,0.7762237762237763,0.8621209267281973,35.0,160.0,0.0,0.0
117,-732.0,586.0,1318.0,-0.5553869499241275,-0.14448324544019056,-46.04332380771529,143.0,0.7412587412587412,0.8820686321894635,45.0,255.0,0.0,0.0
113,-731.0,561.0,1292.0,-0.5657894736842105,-0.2919272757484423,-96.14950743137155,143.0,0.7412587412587412,0.8822297406154342,45.0,235.0,0.0,0.0
205,-730.0,1182.0,1940.0,-0.37628865979381443,0.9002158734958255,339.86276162642594,143.0,0.6853146853146853,0.8985547526403558,60.0,215.0,0.0,0.0
207,-728.0,1151.0,1907.0,-0.3817514420555847,0.8073350008834521,307.25409315961815,143.0,0.6853146853146853,0.8988326848249028,60.0,225.0,0.0,0.0
249,-722.0,1203.0,1943.0,-0.37159032424086463,0.763395775269513,317.2362106257729,143.0,0.6783216783216783,0.9023796646836127,65.0,275.0,0.0,0.0
157,-718.0,941.0,1659.0,-0.432790837854129,0.3645770825169889,152.18418407755118,143.0,0.7412587412587412,0.8931070418341521,50.0,295.0,0.0,0.0
223,-713.0,1464.0,2205.0,-0.32335600907029477,0.9024444405206404,378.74248873367947,143.0,0.6923076923076923,0.9018311992289687,60.0,305.0,0.0,0.0
215,-712.0,1236.0,1976.0,-0.3603238866396761,0.8436918483164196,356.50294800124124,143.0,0.6853146853146853,0.9010561423012784,60.0,265.0,0.0,0.0
111,-710.0,501.0,1211.0,-0.5862923203963666,-0.3548160401288234,-113.46527935380183,143.0,0.7412587412587412,0.8856130175608184,45.0,225.0,0.0,0.0
279,-705.0,877.0,1600.0,-0.440625,0.4763681877723358,166.67654891644165,143.0,0.6643356643356644,0.9058367837585148,70.0,265.0,0.0,0.0
109,-701.0,529.0,1230.0,-0.5699186991869919,-0.22798341079085913,-70.47296314651079,143.0,0.7412587412587412,0.8870629933945545,45.0,215.0,0.0,0.0
