,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
100,498.0,732.0,425.0,1.171764705882353,1.7290844404735386,381.98143093993116,63.0,0.6666666666666666,1.2461690558576373,40.0,140.0,270.0,14.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
101,490.0,761.0,565.0,0.8672566371681416,0.7635438609975642,188.38972069889044,116.0,0.646551724137931,1.1165002377555873,50.0,170.0,260.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
102,485.0,576.0,739.0,0.6562922868741543,0.19805442987596544,50.96272159163372,75.0,0.64,1.2053344623200677,40.0,140.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
103,482.0,573.0,850.0,0.5670588235294117,0.15226435727979484,40.983930621094245,75.0,0.6133333333333333,1.1898385191020087,50.0,130.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
104,481.0,622.0,361.0,1.332409972299169,1.4311022002442284,275.57431450070146,53.0,0.6415094339622641,1.2965474722564736,40.0,130.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
105,475.0,1007.0,595.0,0.7983193277310925,2.005104205713524,438.218416018365,103.0,0.6310679611650486,1.1299234135667395,50.0,130.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
106,473.0,641.0,376.0,1.2579787234042554,1.4778460829553604,326.65754368065296,53.0,0.6037735849056604,1.26875,50.0,120.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
107,465.0,593.0,426.0,1.091549295774648,0.912627691854231,183.89649279428644,53.0,0.6037735849056604,1.2485301977552112,50.0,160.0,290.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
108,464.0,618.0,344.0,1.3488372093023255,1.6379414400492447,314.62203800535644,64.0,0.59375,1.2111010009099181,60.0,110.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
109,460.0,601.0,287.0,1.602787456445993,1.454914536420637,283.74426731284274,53.0,0.6226415094339622,1.2920634920634921,40.0,110.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
110,452.0,552.0,570.0,0.7929824561403509,0.7402085249433652,140.73278918505292,63.0,0.6031746031746031,1.2092592592592593,50.0,130.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
111,452.0,543.0,736.0,0.6141304347826086,0.11187842308589897,26.830952684606554,75.0,0.64,1.1913632514817951,40.0,150.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
112,450.0,545.0,480.0,0.9375,1.3889245726194375,219.11073842622113,57.0,0.6491228070175439,1.2508361204013378,40.0,140.0,280.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
113,444.0,860.0,714.0,0.6218487394957983,2.3528659301512858,380.47069251371,103.0,0.6601941747572816,1.1315165876777251,40.0,150.0,270.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
114,444.0,945.0,606.0,0.7326732673267327,2.1947655680644487,386.3378013008545,103.0,0.6407766990291263,1.11938693197096,50.0,150.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
115,439.0,530.0,737.0,0.5956580732700135,0.3906896750240046,92.98562683331208,75.0,0.6533333333333333,1.1791836734693877,40.0,170.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
116,435.0,521.0,372.0,1.1693548387096775,1.5818493540057081,232.55895931641373,63.0,0.6031746031746031,1.2350081037277147,40.0,110.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
117,431.0,572.0,338.0,1.2751479289940828,1.12739126861718,193.36034944522382,53.0,0.660377358490566,1.255786350148368,40.0,150.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
118,430.0,1001.0,844.0,0.509478672985782,2.201419241129324,413.91683458742506,103.0,0.6699029126213593,1.124133949191686,40.0,160.0,270.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
119,429.0,671.0,461.0,0.93058568329718,1.513153517454322,306.77236321897715,53.0,0.6226415094339622,1.2359735973597359,50.0,130.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
120,429.0,950.0,649.0,0.6610169491525424,2.705758559574896,405.33146282361946,96.0,0.6770833333333334,1.1292168674698795,40.0,170.0,280.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
121,423.0,1085.0,710.0,0.5957746478873239,2.184455771039511,405.84410151766355,103.0,0.6504854368932039,1.1111111111111112,50.0,160.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
122,419.0,560.0,319.0,1.3134796238244515,1.7061492315435323,249.58931258768015,53.0,0.6792452830188679,1.2379329926178306,40.0,170.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
